"state","TotalHouseoldsPerc","DogsPerc","AvgNumDogs","CatsPerc","AvgNumCats","DogDevotionScore","StayedAtAJobTheyDislikedForDogPerc","WhoWouldSpend4kToSaveDogPerc"
"Wyoming",71.8,36,1.7,30,1.8,25.53,6.5,37
"West Virginia",70.7,49.6,1.7,37.7,2.1,53.47,8,29
"Nebraska",70.3,47.1,1.8,30.9,2.3,10.12,7.5,25.5
"Vermont",70,28.3,1.3,44.6,1.3,38.07,6,46.5
"Idaho",69.9,58.3,1.7,33.3,2,32.33,8,27.5
"Indiana",69.2,49.4,1.6,37.5,1.9,32.02,7.5,34
"Arkansas",69,51.6,1.8,34.8,2.1,80.97,11.5,32.5
"Mississippi",65.5,51,2.1,29.1,2,42.45,6.5,28.5
"Oklahoma",65,47.7,1.8,28.4,1.8,16.92,5,25.5
"Colorado",64.7,47.2,1.6,27.1,1.6,100,11,43.5
"Kentucky",64.1,46.5,1.9,32.2,1.8,29.46,7,24.5
"North Dakota",63.7,44.3,1.5,24.8,2.8,43.2,6,30.5
"Maine",63.5,35.9,1.5,43.6,1.9,1.96,5,37.5
"Missouri",63.5,45.1,1.6,28.6,1.9,8.91,5,26.5
"Kansas",62.8,43.1,1.6,32.4,2.1,25.68,4.5,36
"Washington",62.7,42.8,1.5,30.5,1.8,80.97,7,43
"Michigan",62.4,41.9,1.6,31.2,1.7,9.06,6.5,32
"Ohio",62.4,37.9,1.7,30.7,1.9,32.48,6,33
"South Carolina",62,45.3,1.6,25.2,1.6,19.49,3.5,32.5
"Montana",61.9,51.9,2.1,22.8,1.8,1.06,4,23.5
"Tennessee",61.7,47,1.7,30.9,2.2,28.85,4,30.5
"Pennsylvania",60.6,38.9,1.4,28.9,2.1,0,4.5,36
"New Mexico",60.1,39.4,2,25.2,1.8,54.83,8,28.5
"Alabama",59.8,46.9,1.9,26.1,1.7,70.24,5.5,34
"Iowa",59.4,36.3,1.8,35.6,2,13.6,8.5,31
"Oregon",59.2,37.8,1.6,30,1.6,70.69,9.5,40.5
"Wisconsin",59,33.6,1.4,32.4,1.9,59.82,6,32.5
"North Carolina",58.6,41.3,1.6,26.5,1.8,32.78,6.5,34
"Utah",58.5,36.2,1.6,24.7,1.9,44.86,9,38.5
"Texas",58.2,43.4,1.7,20.5,2,81.42,12.5,32.5
"Arizona",58,43,1.8,26.4,2,40.03,7,36.5
"Delaware",57.9,42.2,1.8,24.1,1.8,71.15,9.5,40
"California",57.2,40.1,1.6,22.9,1.7,66.31,6.5,46
"Florida",56,39.8,1.5,24.2,1.8,22.05,7.5,36
"Virginia",55.5,35.6,1.7,23.9,1.9,94.41,9.5,41.5
"Louisiana",54.4,38.3,1.6,19,1.7,43.5,6,29
"Minnesota",54,35.5,1.4,26.5,1.9,51.21,8,40
"Nevada",53.3,36.8,1.6,23.1,1.7,87.92,10,37.5
"New Hampshire",51.8,23.7,1.4,36.4,1.5,48.19,8,43.5
"Georgia",51.1,36.7,1.8,20.4,2.1,92.45,9.5,40
"Connecticut",49.9,24,1.4,26.7,1.9,34.74,9,41.5
"New York",49.7,27,1.4,21.1,1.7,62.39,12,41
"Massachusetts",49.1,28.9,1.4,23.5,1.6,65.41,5,51.5
"Illinois",48.6,31,1.4,21,1.7,59.82,7.5,39.5
"Maryland",48.6,30.2,1.4,18.6,1.7,61.18,11.5,44
"New Jersey",47.4,29.1,1.3,18.9,1.6,59.21,7,50.5
"South Dakota",46.4,32.1,1.3,26.6,1.4,31.27,5,31.5
"Rhode Island",45.4,25.8,1.4,16.7,2,68.43,15.5,46
"District of Columbia",38.2,,,,,,,